coin,symbol,available_on_binance,latest_funding_rate
MORPHO,MORPHOUSDT,True,0.00005000
ORDI,ORDIUSDT,True,0.00005000
TIA,TIAUSDT,True,0.00001926
INJ,INJUSDT,True,0.00010000
HYPER,HYPERUSDT,True,0.00005000
PEPE,PEPEUSDT,False,
DOGE,DOGEUSDT,True,0.00008267
UNI,UNIUSDT,True,0.00010000
LDO,LDOUSDT,True,0.00010000
ARB,ARBUSDT,True,0.00010000
OP,OPUSDT,True,0.00010000
WIF,WIFUSDT,True,0.00005000
JUP,JUPUSDT,True,-0.00001145
ETH,ETHUSDT,True,0.00010000
BTC,BTCUSDT,True,0.00005336
SOL,SOLUSDT,True,0.00000924
W,WUSDT,True,0.00005000
